id;relation;value;value_query;parameter;parameter_relation
1;AND;HDD;Forward holistic dynamic;Forward Refined Plastic Keyboard;LESSTHAN
2;AND;Incredible Concrete Keyboard monitoring;open-source;cultivate Granite;GREATERTHAN
3;AND;South Carolina Borders;CSS Unbranded Soft Shirt;Bedfordshire;LESSTHAN
4;AND;array;Lakes transmit hard drive;Books Montana firewall;EQUALS
5;OR;New York Steel Strategist;alarm invoice;focus group Checking Account synthesizing;IN
6;AND;Cambridgeshire Money Market Account withdrawal;Quality e-enable;Savings Account innovate plum;IN
7;AND;Wooden lavender;Plastic backing up;invoice Refined Fresh Car hub;EQUALS
8;OR;alarm;haptic Kenya;index;GREATERTHAN
9;AND;generate deposit;sexy;Berkshire standardization;LESSTHAN
10;AND;Money Market Account Keys;Programmable Hollow adapter;New Caledonia;LESSTHAN
