id;field_name;field_source;field_expression
1;backing up Table;Rand Handmade Frozen Bike;olive Industrial incentivize
2;non-volatile;SCSI turquoise dot-com;deposit wireless
3;integrate;Credit Card Account tan Jamaica;revolutionize
4;auxiliary;Antarctica (the territory South of 60 deg S);South Dakota Integration Savings Account
5;architectures Cambridgeshire black;Buckinghamshire Director Awesome Rubber Chips;Senior Grocery
6;open-source;Investment Account;transition Rubber Equatorial Guinea
7;Mayotte;Bypass PNG;Oval transmitting
8;FTP;Pakistan;Refined
9;transparent;Hat;algorithm Customer
10;orchid;Security;impactful
