id;attribute_name;product_id;attribute_value
1;parallelism Compatible extend;30506;next generation superstructure Multi-lateral
2;Generic;23172;Facilitator primary Bahamian Dollar
3;cross-media;40920;integrate groupware Somali Shilling
4;Samoa Keyboard;61003;Executive reboot Handmade Wooden Towels
5;XML;40292;orchid Specialist array
6;Central;98823;Car port
7;Metical Baby;72736;invoice
8;Computer;4164;Unbranded Monitored virtual
9;Beauty synthesizing Awesome;26564;Points
10;Cambridgeshire mint green Solomon Islands Dollar;23666;Progressive orchestrate
