id;attribute_name;product_id;attribute_value;condition_id
1;Arizona transmitting;1722;Incredible vortals;22826
2;Cambridgeshire;53320;best-of-breed;52776
3;Switzerland;30349;Intelligent Rubber Bike;95122
4;even-keeled quantify;98700;Handcrafted Cotton Chicken;16304
5;enterprise;70928;Pants;96964
6;Table connect;58595;circuit;47644
7;system Team-oriented evolve;9449;yellow Cambridgeshire aggregate;33896
8;Washington;22284;Concrete;31468
9;strategize;7761;Solutions generating;68611
10;bypass;72988;Texas calculating Rustic;1950
