id;attribute_name;package_id;attribute_value;condition_id
1;Pizza synthesizing;39345;portals Cambridgeshire Rubber;30181
2;Metal maroon;3477;Roads;19587
3;e-services invoice throughput;84696;deposit;78701
4;copy;67677;online;31788
5;action-items Small transmit;43961;redundant SCSI Refined;47869
6;Oregon;64796;Vermont;89706
7;Chair interactive;65319;Metal Handcrafted Steel Computer Intranet;42421
8;Ergonomic Concrete Chicken New Jersey;73222;Berkshire protocol Towels;66088
9;Granite;80158;24 hour;19546
10;Wyoming Streamlined pink;46125;Ethiopian Birr;35576
