id;product_id;resource_id;resource_value;resource_type
1;67895;Credit Card Account optical;payment Argentine Peso Global;SOB
2;54609;Outdoors niches Dynamic;mint green initiative Cape;ACC
3;213;Home Loan Account;Handcrafted;UC
4;11506;compress Metal;XSS;UC
5;40459;bus;matrix empower primary;UC
6;12812;Manor;Concrete redundant Regional;PAM
7;28773;black Steel;index;ACC
8;20152;Interactions;override;ACCOUNTGROUP
9;70190;Steel;Fantastic Wooden Shirt Computer Synergistic;DA
10;79759;Refined;mobile;ACC
